timestamp,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_bias[0],accel_bias[1],accel_bias[2]
206192000,-0.00039874,-0.005956311,7.32E-05,-0.25658295,0.2094757,-0.03175742
207192000,-0.000385519,-0.005946748,8.13E-05,-0.2564782,0.20939176,-0.031158337
208192000,-0.000379718,-0.005942059,8.43E-05,-0.256425,0.20927072,-0.031074956
209200000,-0.000383627,-0.005938245,0.000101612,-0.25635517,0.20917007,-0.029603686
210192000,-0.000389226,-0.005931995,0.000117095,-0.2562968,0.2089087,-0.02739831
211192000,-0.000398963,-0.005926714,0.000131092,-0.2562656,0.20846015,-0.024167929
212192000,-0.000405308,-0.005925375,0.000142996,-0.25622708,0.20790765,-0.021514995
213192000,-0.000404517,-0.005917866,0.000147698,-0.25617483,0.20684023,-0.018442854
214192000,-0.000409264,-0.005914808,0.000159973,-0.25611728,0.20613128,-0.014892183
215192000,-0.000407462,-0.005908902,0.000176221,-0.25600266,0.20520115,-0.011686606
216192000,-0.000400148,-0.005917411,0.000188993,-0.25593364,0.20443812,-0.00772052
217192000,-0.000395473,-0.005935193,0.000202085,-0.25588062,0.20368163,-0.003910502
218192000,-0.00039054,-0.00595089,0.000215737,-0.25581124,0.20289226,-0.001512972
219192000,-0.000385825,-0.005970846,0.000224748,-0.2557696,0.2020146,0.001344872
220192000,-0.000383493,-0.005990195,0.000229205,-0.2557444,0.20126802,0.002714761
221192000,-0.000383341,-0.006008039,0.00024145,-0.25567967,0.20082653,0.004839778
222192000,-0.000393392,-0.006016943,0.000284859,-0.25567967,0.20082653,0.004839779
223192000,-0.000403431,-0.006030152,0.000329572,-0.25540283,0.20031847,0.004971915
224192000,-0.000408193,-0.006041554,0.000347816,-0.25474882,0.19945723,0.005439114
225192000,-0.000414569,-0.006045898,0.000352755,-0.25428957,0.19901593,0.006103782
