timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius
61071999,0.24889141,-0.18375093,-3.078021,-3.1219788,-4.0829406,132.85057,54.701294
61576000,0.1866337,-0.24458915,-3.0666091,-3.1152244,-4.630041,123.33109,53.827972
62080000,0.12688157,-0.23020734,-3.0617247,-3.1101012,-4.846897,113.90268,53.332424
62583999,0.0683025,-0.25740647,-3.0693197,-3.1104038,-4.417437,104.53297,53.02102
63064000,-0.028428728,-0.23281042,-3.1109023,-3.1109023,45.48433,95.62939,53.10257
63568000,-0.039650384,-0.2675344,-3.1113558,-3.1113558,36.146904,86.26366,53.188946
64072000,-0.037978448,-0.23639451,-3.1161563,-3.1161563,26.800514,76.85721,53.54934
64576000,-0.023564158,-0.28034496,-3.1174622,-3.1174622,17.463463,67.38964,53.80995
65080000,-0.004820194,-0.24012822,-3.1169007,-3.119023,-1.9446175,57.861996,54.284374
65584000,-0.002384912,-0.20436028,-3.1249866,-3.1213982,-1.5151577,48.263084,54.617966
66064000,0.006773884,-0.098653615,-3.1270096,-3.1165707,-1.4112179,39.073975,54.871
66568000,0.003705399,-0.070007846,-3.1346982,-3.11935,-0.9770329,29.464428,54.18338
67072000,0.007712756,-0.0857533,-3.1363,-3.108945,-0.8730936,20.013357,53.138927
67576000,0.010003728,-0.079270765,-3.137896,-3.0802698,-0.7691536,10.77936,51.848454
68080000,0.019635871,-0.087540396,-3.1331692,-2.6192906,-0.9954591,1.8983524,50.89071
68584000,0.69795257,-0.08102166,-0.13462143,-0.13462143,-0.8962443,7.2209864,49.899918
69064000,0.71525073,-0.06546275,-2.384574,-2.3845694,164.74655,214.58939,49.625854
69568000,0.61952025,-0.06373987,-2.3596447,-2.35964,157.4418,207.45285,49.671978
70072000,0.47214746,-0.05365318,-2.3416152,-2.3416104,149.69113,199.62222,49.74993
70576000,0.35265884,-0.043205354,-2.3267894,-2.3267846,141.06104,191.24591,54.29288
71080000,0.3344024,-0.024161462,-2.3129766,-2.3129716,131.99648,182.23047,52.522903
71584000,0.1853161,-0.02610275,-2.3026254,-2.3026206,123.29291,173.29303,50.875698
72064000,0.09423901,-0.032086395,-2.299582,-2.2995777,114.965775,164.91618,49.706814
72568000,0.024154024,-0.034988426,-2.2975965,-2.2975922,106.39691,156.25615,48.873955
73072000,-0.014446845,-0.03123931,-2.2968423,-2.2968385,97.5851,147.69478,48.44595
73576000,-0.033109292,-0.02462633,-2.2982757,-2.298272,89.0551,139.18314,48.269714
74080000,-0.03919782,-0.017061997,-2.2998965,-2.299893,80.52542,130.687,48.255875
74584000,-0.0376915,-0.010105932,-2.3017435,-2.3017402,71.99615,122.183525,48.35743
75064000,-0.034713376,-0.003615049,-2.3047228,-2.3047194,63.993156,114.06053,48.54006
75568000,-0.030618379,0.003459883,-2.3072495,-2.3072467,55.46518,105.50674,48.73536
76072000,-0.020535663,0.00992586,-2.3047225,-2.30472,46.89418,96.92056,48.907215
76576000,-0.019427553,0.014647748,-2.3077385,-2.3077362,38.36628,88.307396,49.022476
77080000,-0.020654764,0.019319639,-2.311399,-2.3113966,29.839348,79.67897,49.110455
77584000,-0.018060407,0.022995677,-2.311545,-2.3115432,21.02681,71.04122,49.131947
78088000,-0.016172666,0.02571084,-2.3117325,-2.3117309,12.214272,62.39948,49.13444
78568000,-0.018024521,0.029231379,-2.3137083,-2.3137069,3.92836,54.164516,49.12324
79072000,0.000158218,0.031294525,-2.316401,-2.3164,-4.3572655,45.52317,49.107727
79576000,0.000288448,0.03318465,-2.3178797,-2.3178787,-13.169601,36.887825,49.079197
80080000,0.001395738,0.035178654,-2.3312573,-2.3312569,-21.691128,28.264662,49.0157
80584000,0.003128223,0.03570228,-2.340764,-2.3407636,-30.500841,19.64979,48.93816
81064000,0.015190322,0.03676524,-2.3972867,-2.3972864,-38.466583,11.473647,48.84239
81568000,0.17142646,0.03757186,-2.668648,-2.668648,-47.141136,3.0690486,48.731075
82072000,0.14559962,0.03854524,1.1163179,1.1163177,-44.202538,5.897864,48.653374
82576000,0.34491044,0.039956562,1.0058603,1.0058599,-35.738335,14.404691,48.56387
83080000,0.5382363,0.040239982,1.0011907,1.0011898,-27.190666,22.943632,48.486473
83584000,0.70190454,0.04043694,1.0329455,1.0329441,-18.536173,31.424408,48.530235
84064000,0.8183524,0.04163761,1.0884486,1.0884469,-10.678841,39.346004,48.718178
84568000,0.87266463,0.044610832,1.1638232,1.1638209,-2.8493767,47.300617,49.08452
85072000,0.87266463,0.05242244,1.2504296,1.2504265,5.225048,55.25347,50.307766
85576000,0.87266463,0.034509536,1.3369862,1.3369825,12.247921,62.165936,48.492718
86080000,0.87266463,0.022378037,1.4325385,1.4325342,17.711533,67.76824,47.831352
86584000,0.87266463,0.023429751,1.5411935,1.5411887,21.65464,71.79278,47.732548
87064000,0.87266463,0.033061877,1.6506294,1.6506245,24.464897,74.35074,49.011024
87568000,0.8415488,0.015823381,1.7626987,1.762694,25.615799,75.43764,47.198353
88072000,0.7189479,0.006213879,1.8695399,1.8695356,24.94268,74.89467,46.804714
88576000,0.66211605,0.015759965,1.9858031,1.9857994,23.642189,73.53628,49.08086
89080000,0.52115464,0.009952618,2.100831,2.1008282,21.316223,71.51287,47.35603
89584000,0.35502705,0.004103062,2.2129025,2.2129002,18.702797,68.66229,46.387424
90064000,0.2093086,0.006072391,2.3202887,2.320287,15.375778,65.48496,46.16466
90568000,0.12680987,0.012166886,2.4368153,2.436814,11.809086,61.914097,46.244083
91072000,0.11304743,0.018545471,2.5623717,2.5623713,8.287418,58.471504,46.297386
91576000,0.16784833,0.024609115,2.6982927,2.6982925,5.408348,55.476357,46.39405
92080000,0.2568031,0.029601518,2.8437212,2.8437212,3.2457657,53.121624,46.553528
