timestamp,ref_lat,ref_lon,x,y,z,vx,vy,vz,ax,ay,az,dist_bottom
24264000,39.8714137,32.7364368,-4.394916,254.43822,-55.958443,0.73723894,17.810131,-0.6435502,1.1116999,3.4766881,0.8539138,56.114113
24360000,39.8714137,32.7364368,-4.314416,256.1727,-56.014782,0.8738666,18.150154,-0.6309849,1.7242967,3.4849355,-0.6416039,56.170452
24464000,39.8714137,32.7364368,-4.2082596,258.08893,-56.083637,1.1070309,18.491043,-0.7630487,2.710416,2.903566,-1.8562636,56.239307
24568000,39.8714137,32.7364368,-4.0722327,260.0363,-56.173416,1.453089,18.765898,-0.99458843,3.8535993,2.2514205,-2.431873,56.329086
24664000,39.8714137,32.7364368,-3.9099905,261.8575,-56.2789,1.8626155,18.953444,-1.2341762,4.607711,1.5743906,-2.4635456,56.43457
24760000,39.8714137,32.7364368,-3.7055147,263.6925,-56.406296,2.3396347,19.075974,-1.4573883,5.3216724,0.93856424,-2.2631073,56.561966
24864000,39.8714137,32.7364368,-3.4305124,265.69067,-56.566204,2.9226043,19.13627,-1.6757619,5.9244776,0.18717347,-1.9968617,56.721874
24960000,39.8714137,32.7364368,-3.1211505,267.5373,-56.733616,3.5151129,19.12512,-1.8614671,6.4085307,-0.5091368,-1.8866992,56.889286
25064000,39.8714137,32.7364368,-2.7191846,269.53748,-56.93579,4.210161,19.04644,-2.0535314,6.9768023,-1.17539,-1.8286173,57.09146
25160000,39.8714137,32.7364368,-2.282088,271.37506,-57.140675,4.891446,18.919573,-2.2145727,7.212534,-1.6665953,-1.6126715,57.296345
25264000,39.8714137,32.7364368,-1.7340586,273.35068,-57.380104,5.6622095,18.724314,-2.3713782,7.565075,-2.3422718,-1.3989089,57.535774
25360000,39.8714137,32.7364368,-1.1566709,275.15512,-57.614918,6.396718,18.493782,-2.4978058,7.7435145,-2.7250028,-1.2451726,57.770588
25464000,39.8714137,32.7364368,-0.4509383,277.08533,-57.881973,7.2122507,18.19563,-2.6208155,7.9139094,-3.3026445,-1.152602,58.037643
25560000,39.8714137,32.7364368,0.27613306,278.8397,-58.14048,7.975062,17.87419,-2.7251215,8.025848,-3.8400843,-1.0774246,58.29615
25664000,39.8714137,32.7364368,1.145551,280.70258,-58.43202,8.809626,17.473461,-2.8364637,8.063387,-4.334715,-1.0997168,58.58769
25760000,39.8714137,32.7364368,2.0235035,282.38486,-58.71182,9.582965,17.051535,-2.936617,8.084327,-4.875856,-1.0410091,58.86749
25864000,39.8714137,32.7364368,3.060605,284.15967,-59.02623,10.425812,16.537773,-3.0370917,8.092023,-5.442084,-0.94520015,59.1819
