timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2]
85184000,0.07295966,-0.009655893,-0.1166658,2.2031245,-0.21952777,-8.8880825
85188000,0.073885165,-0.010118549,-0.12320935,2.2382612,-0.21126774,-8.928065
85192000,0.07227274,-0.004005883,-0.11334749,2.2429993,-0.20537741,-8.954522
85200000,0.068938896,-0.012096389,-0.11719627,2.131363,-0.19779648,-8.991835
85204000,0.06683435,-0.012874273,-0.118430465,2.1639392,-0.13717158,-9.045792
85208000,0.06923184,-0.01443915,-0.11478841,2.1278107,-0.19201125,-9.048445
85216000,0.07363612,-0.006065449,-0.113089606,2.1574016,-0.16281666,-8.9883585
85220000,0.07078377,-0.010336781,-0.1129186,2.1547606,-0.16528638,-8.971978
85224000,0.07060101,-0.002719773,-0.11087707,2.1392107,-0.15913008,-9.038165
85232000,0.078085445,-0.008704989,-0.11237535,2.2216334,-0.16969341,-8.996755
85236000,0.076117486,-0.004845448,-0.11299629,2.1772337,-0.13051134,-8.963011
85240000,0.0742883,-0.00780687,-0.11222643,2.124183,-0.15987347,-8.990066
85244000,0.07426948,-0.011310971,-0.11127291,2.124183,-0.15987347,-8.990066
85248000,0.078271486,-0.007900561,-0.1072419,2.1745694,-0.19648571,-9.025756
85252000,0.08005304,-0.007134615,-0.10431841,2.1537163,-0.19825457,-9.020991
85260000,0.07677862,-0.010384214,-0.121196136,2.0845158,-0.14287196,-9.110672
85264000,0.078860454,-0.006098915,-0.115053415,2.0904467,-0.16042171,-9.0671625
85268000,0.07836283,0.000406656,-0.11181814,2.071093,-0.16368826,-9.041927
85272000,0.07825702,-0.004081788,-0.114866585,2.079816,-0.09955125,-9.012844
85280000,0.08235724,-0.003951083,-0.10980623,2.1329534,-0.09368371,-9.060042
85284000,0.07944782,-0.001685972,-0.109813,2.0945337,-0.026407368,-9.029188
85288000,0.07904306,-0.003882524,-0.10437763,2.0788953,-0.098753095,-9.096944
85292000,0.08412939,-0.00786427,-0.102184,2.109761,-0.12290401,-9.155699
85296000,0.08688732,-0.014226276,-0.1061949,2.1391714,-0.10155201,-9.0983
85300000,0.09193654,-0.015619705,-0.10578675,2.1519902,-0.12281051,-9.154235
85304000,0.09108352,-0.008431523,-0.103069045,2.0989902,-0.13241234,-9.095865
85308000,0.08354646,-0.005794006,-0.1053829,2.0445204,-0.13158195,-9.087649
85316000,0.09081441,-0.011378118,-0.108408764,2.131188,-0.12959225,-9.121406
85324000,0.09450738,-0.000514771,-0.104398705,2.021792,-0.11890374,-9.097255
85328000,0.08942425,0.002027674,-0.104273014,2.074989,-0.11572535,-9.113246
85332000,0.08586061,0.004875497,-0.10983531,2.0707583,-0.088889785,-9.136323
85340000,0.094425164,-0.002593447,-0.11082326,2.04783,-0.07038861,-9.099971
85344000,0.0916099,-0.000842765,-0.104857974,1.9726253,-0.077084556,-9.152623
85348000,0.08728797,-0.00092723,-0.10446909,1.9918953,-0.1011883,-9.192856
85352000,0.08801691,0.000284038,-0.10432027,2.0326443,-0.08518176,-9.201337
85360000,0.092633605,-0.006270399,-0.10323097,2.0131965,-0.13821694,-9.144313
85364000,0.09312305,-0.004547993,-0.10468075,2.064226,-0.12754393,-9.167966
85372000,0.08871611,-0.000202823,-0.10131283,1.9674252,-0.022843575,-9.14405
85376000,0.0863676,0.002951884,-0.09704055,2.0601287,-0.048788022,-9.145318
85380000,0.082484536,0.004604587,-0.09602068,2.058114,-0.05307107,-9.1396675
85384000,0.093268685,0.002971537,-0.101767555,2.0190334,-0.06315481,-9.180165
85388000,0.09845728,-0.001272349,-0.10354187,2.0828593,-0.06010712,-9.234543
85396000,0.09369162,-0.001099282,-0.10314307,1.9531114,-0.030067654,-9.132935
85400000,0.0955795,0.002092755,-0.10525086,1.9992429,-0.02822614,-9.055112
85404000,0.09623458,0.000838475,-0.10846393,2.0143442,-0.038024437,-9.10742
85408000,0.09884317,0.007803737,-0.10899279,1.9855274,0.001920257,-9.172353
85412000,0.09789582,0.008913796,-0.10472508,2.0079234,0.002455837,-9.221681
85416000,0.09585789,0.003537686,-0.10216437,2.0459929,-0.00409177,-9.208926
85420000,0.096331805,-4.54E-05,-0.10262585,1.9950892,-0.007278329,-9.280706
85424000,0.0918125,-6.22E-06,-0.10395441,1.981498,-0.028202094,-9.257317
85428000,0.087763995,-0.005461308,-0.10122536,2.0627127,-0.025493113,-9.251176
85436000,0.08955337,-0.003163202,-0.10001086,2.0528045,-0.04597688,-9.176794
85440000,0.09148479,-0.005065728,-0.09945264,2.0574243,-0.06832737,-9.167351
85444000,0.09745513,-0.003352511,-0.10057172,2.029408,-0.099024415,-9.247163
85452000,0.100798525,-0.005281759,-0.10703139,1.9663863,0.053588495,-9.197059
85456000,0.09766119,-0.007118496,-0.10425882,1.9558854,-0.014880232,-9.227447
85460000,0.09733988,-0.000330569,-0.103650846,1.8942369,0.011008984,-9.251855
85468000,0.09349784,-0.003265795,-0.09509977,1.981231,-0.078264035,-9.183815
85472000,0.095738605,-0.00640951,-0.09965096,1.9955269,-0.06988796,-9.224491
85476000,0.10225098,-0.00373215,-0.099736325,2.0208244,-0.03957954,-9.243118
85480000,0.09946709,0.001034248,-0.09681052,2.0208807,-0.023206899,-9.246218
85484000,0.09833086,0.001241201,-0.10148384,2.0095336,0.019745035,-9.282636
85492000,0.10900813,-0.001024417,-0.09859167,2.006144,-0.011139137,-9.167692
85496000,0.105085224,0.007117696,-0.10933863,2.0016184,0.046793837,-9.152225
85504000,0.100301534,-0.005618837,-0.0925549,2.0118484,-0.021959662,-9.234567
85512000,0.104172185,-0.002682037,-0.10532286,1.9753925,0.069188416,-9.269115
85516000,0.10427079,-0.000586444,-0.09778648,2.002072,-0.026617063,-9.315959
85524000,0.10231772,0.000686443,-0.09946168,1.9347522,0.023758752,-9.282773
85532000,0.1093585,-0.00369498,-0.097814284,1.9995458,0.028792977,-9.155739
