timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
191520000,191520000,-0.005715912,0.013970591,-0.08036172,0,0,0,0,0
191524000,191524000,-0.005639344,0.010194667,-0.08057234,0,0,0,0,0
191528000,191528000,-0.005700051,0.010233752,-0.08058683,0,0,0,0,0
191532000,191532000,-0.005894889,0.010313215,-0.08067002,0,0,0,0,0
191540000,191540000,-0.006094621,0.010220469,-0.080913045,0,0,0,0,0
191544000,191544000,-0.005800144,0.010084163,-0.08093045,0,0,0,0,0
191548000,191548000,-0.005477363,0.013362216,-0.080811486,0,0,0,0,0
191552000,191552000,-0.00481318,0.013310623,-0.08074105,0,0,0,0,0
191556000,191556000,-0.004718959,0.01333608,-0.08076083,0,0,0,0,0
191560000,191560000,-0.00497695,0.013325682,-0.080801636,0,0,0,0,0
191564000,191564000,-0.005390791,0.01333957,-0.080864295,0,0,0,0,0
191572000,191572000,-0.005526369,0.008478956,-0.081218764,0,0,0,0,0
191580000,191580000,-0.00577904,0.008293943,-0.081241086,0,0,0,0,0
191584000,191584000,-0.005509458,0.008042847,-0.08111252,0,0,0,0,0
191588000,191588000,-0.005531838,0.008008376,-0.08115663,0,0,0,0,0
191592000,191592000,-0.005822334,0.008042634,-0.08048081,0,0,0,0,0
191596000,191596000,-0.005790631,0.008113347,-0.08060467,0,0,0,0,0
191600000,191600000,-0.00569408,0.008042611,-0.0806174,0,0,0,0,0
191604000,191604000,-0.005171048,0.007888394,-0.080657415,0,0,0,0,0
191612000,191612000,-0.004819862,0.007912769,-0.08060672,0,0,0,0,0
191616000,191616000,-0.005173154,0.007887526,-0.08061027,0,0,0,0,0
191620000,191620000,-0.005235303,0.003532551,-0.08072119,0,0,0,0,0
191624000,191624000,-0.005534176,0.003498379,-0.08073958,0,0,0,0,0
191628000,191628000,-0.005791501,0.003519673,-0.0807933,0,0,0,0,0
191632000,191632000,-0.00585389,0.00365594,-0.08078383,0,0,0,0,0
191636000,191636000,-0.00576627,0.003719548,-0.08074387,0,0,0,0,0
191640000,191640000,-0.005466675,0.003650026,-0.0807276,0,0,0,0,0
191644000,191644000,-0.005184278,0.003332466,-0.08078777,0,0,0,0,0
191648000,191648000,-0.004928785,0.003310926,-0.08082951,0,0,0,0,0
191652000,191652000,-0.004693241,0.003272032,-0.08087641,0,0,0,0,0
191656000,191656000,-0.004462785,0.003268665,-0.080908574,0,0,0,0,0
191660000,191660000,-0.004406172,0.00330393,-0.08088691,0,0,0,0,0
191664000,191664000,-0.004315374,0.003326288,-0.08080872,0,0,0,0,0
191668000,191668000,-0.003613913,0.011238271,-0.08026966,0,0,0,0,0
191672000,191672000,-0.003258633,0.011179304,-0.08032941,0,0,0,0,0
191676000,191676000,-0.003307072,0.011175726,-0.0803775,0,0,0,0,0
191680000,191680000,-0.003773793,0.011241376,-0.08037885,0,0,0,0,0
191684000,191684000,-0.004413253,0.011284363,-0.08036641,0,0,0,0,0
191688000,191688000,-0.004793765,0.011272757,-0.08031543,0,0,0,0,0
191692000,191692000,-0.004374144,0.007827848,-0.08021699,0,0,0,0,0
191696000,191696000,-0.004150446,0.007758794,-0.08018727,0,0,0,0,0
191700000,191700000,-0.004164024,0.007688878,-0.08024981,0,0,0,0,0
191708000,191708000,-0.004357064,0.007655801,-0.080329895,0,0,0,0,0
191712000,191712000,-0.004796887,0.007618507,-0.08012351,0,0,0,0,0
191716000,191716000,-0.003993643,0.010859977,-0.0796951,0,0,0,0,0
191724000,191724000,-0.002980439,0.010831078,-0.07969014,0,0,0,0,0
191728000,191728000,-0.002680793,0.010826595,-0.079853244,0,0,0,0,0
191732000,191732000,-0.00255618,0.010791933,-0.07997484,0,0,0,0,0
191736000,191736000,-0.002453848,0.0107516,-0.080047034,0,0,0,0,0
191740000,191740000,-0.002419178,0.00599313,-0.080409884,0,0,0,0,0
191744000,191744000,-0.002310689,0.00593766,-0.08040661,0,0,0,0,0
191748000,191748000,-0.002353836,0.005957576,-0.0802963,0,0,0,0,0
191752000,191752000,-0.002507957,0.006031035,-0.08020658,0,0,0,0,0
191756000,191756000,-0.002608682,0.006100386,-0.08019067,0,0,0,0,0
191760000,191760000,-0.0027631,0.006104943,-0.080183215,0,0,0,0,0
191764000,191764000,-0.002483789,0.006028674,-0.080045514,0,0,0,0,0
191768000,191768000,-0.002386136,0.005985859,-0.08007579,0,0,0,0,0
191772000,191772000,-0.002404226,0.005901927,-0.080110475,0,0,0,0,0
191776000,191776000,-0.002619834,0.005838905,-0.08005979,0,0,0,0,0
191780000,191780000,-0.002869397,0.00574062,-0.07997202,0,0,0,0,0
191788000,191788000,-0.002800949,0.001289073,-0.080044255,0,0,0,0,0
191792000,191792000,-0.003196421,0.001403587,-0.07967777,0,0,0,0,0
191796000,191796000,-0.002989993,0.001465879,-0.079779714,0,0,0,0,0
191800000,191800000,-0.002761945,0.001411906,-0.079789184,0,0,0,0,0
191804000,191804000,-0.002537838,0.001333812,-0.0797262,0,0,0,0,0
191808000,191808000,-0.002198287,0.001349244,-0.07966129,0,0,0,0,0
191812000,191812000,-0.001482799,0.001118226,-0.07949006,0,0,0,0,0
191816000,191816000,-0.001284744,0.001126451,-0.07946742,0,0,0,0,0
