timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0]
196752000,-0.24739376,-0.22491343,-1.6402335,0,0.6625235,-0.16506246,0.013685674,-0.7304996,0
196776000,-0.25630406,-0.22885427,-1.6404808,0,0.66135746,-0.16941088,0.01561559,-0.73052204,0
196800000,-0.27364993,-0.23113382,-1.6409805,0,0.6594795,-0.1759432,0.021216594,-0.7305345,0
196824000,-0.28244215,-0.23425761,-1.641233,0,0.65832525,-0.17994374,0.023384653,-0.7305349,0
196848000,-0.29114032,-0.2367573,-1.6414874,0,0.6572128,-0.18368575,0.025732122,-0.7305263,0
196872000,-0.3081671,-0.22743233,-1.6420016,0,0.65632117,-0.18597336,0.03517834,-0.73035544,0
196896000,-0.31674096,-0.2284645,-1.6422615,0,0.6553242,-0.18914455,0.03798174,-0.7302958,0
196920000,-0.32532474,-0.2264107,-1.6425234,0,0.65461016,-0.19122586,0.041840605,-0.7301833,0
196944000,-0.34201697,-0.23031585,-1.6430528,0,0.65240717,-0.19804372,0.04665564,-0.73004586,0
196968000,-0.35089552,-0.2330464,-1.6385008,0,0.6529019,-0.20200783,0.04850675,-0.72839487,0
196992000,-0.35918796,-0.23605937,-1.6387527,0,0.6516533,-0.20576085,0.05052425,-0.7283253,0
197016000,-0.37542653,-0.23878226,-1.6392621,0,0.6494833,-0.21198077,0.055561326,-0.72811306,0
197040000,-0.3835559,-0.22947752,-1.6395196,0,0.64953035,-0.2113665,0.061718956,-0.7277536,0
197064000,-0.39159757,-0.2301896,-1.6397791,0,0.6485032,-0.21421626,0.064429864,-0.72760135,0
197088000,-0.39960662,-0.22819869,-1.6400405,0,0.6477647,-0.21610941,0.06804913,-0.72736984,0
197112000,-0.41520754,-0.23172855,-1.6405694,0,0.6454675,-0.22236238,0.07257871,-0.7270893,0
197136000,-0.42300564,-0.23419698,-1.640837,0,0.6442146,-0.22572342,0.074603856,-0.7269598,0
197160000,-0.430748,-0.23719816,-1.6411065,0,0.64288753,-0.22924435,0.07642809,-0.7268434,0
197184000,-0.44604766,-0.23992841,-1.6366059,0,0.64242053,-0.23527989,0.080529265,-0.7248822,0
197208000,-0.45352858,-0.24212077,-1.6368622,0,0.6411769,-0.23842442,0.08252428,-0.72473156,0
197232000,-0.46095848,-0.2411603,-1.6371205,0,0.6403112,-0.24046385,0.08557393,-0.7244694,0
197256000,-0.47552186,-0.23188877,-1.6376432,0,0.6395089,-0.24191675,0.09406114,-0.7236416,0
197280000,-0.4826482,-0.2344826,-1.6379077,0,0.6382223,-0.2450701,0.095790684,-0.72348946,0
197304000,-0.48975885,-0.2342531,-1.6381743,0,0.6372796,-0.24724595,0.09847317,-0.72321993,0
197328000,-0.50378305,-0.23752905,-1.6387138,0,0.6349118,-0.25279886,0.10249937,-0.7228235,0
197352000,-0.510743,-0.23970278,-1.6389868,0,0.6336448,-0.2557332,0.10431236,-0.72264355,0
197376000,-0.51746136,-0.23043738,-1.6340101,0,0.63579524,-0.25497746,0.109242566,-0.72028947,0
197400000,-0.5242091,-0.23141105,-1.6342664,0,0.6347106,-0.2574374,0.11137483,-0.7200444,0
197424000,-0.53758687,-0.22943884,-1.6347852,0,0.6330524,-0.26097876,0.1169245,-0.71934927,0
197448000,-0.5440011,-0.23310424,-1.6350478,0,0.6316217,-0.26423234,0.11802459,-0.7192396,0
197472000,-0.5503371,-0.23582083,-1.6353126,0,0.6303143,-0.26713362,0.1194184,-0.7190846,0
197496000,-0.5631893,-0.2389352,-1.6358486,0,0.6279574,-0.27219415,0.12305652,-0.71863544,0
