timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
5336000,792000,47.3977419,8.545594,0.004031809,0.014033887,-0.08095263,0.011807763,-0.003991564,0.0,0.00015854614,-0.000967756,-0.03938131,0.04650411,0.018587714,-0.039994493,0.0343713,-0.029161192,0.10327208,-0.029566696,1.6329007,488.1152,0.11932922,1.0,0.23061298,0.31622776,0.23717082,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5432000,792000,47.3977419,8.545594,0.004626306,0.008842784,-0.07052432,0.011807763,-0.003991564,0.0,-0.0020711008,-0.0026064336,-0.034371424,0.06322351,0.018587714,-0.039994493,0.0343713,-0.031125773,0.049570397,-0.02412591,1.6325129,488.1152,0.114219666,1.0004613,0.21541792,0.31695107,0.23740359,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5536000,792000,47.3977419,8.545594,0.005632894,0.0034726316,-0.059437606,0.011807763,-0.003991564,0.0,-0.002889569,-0.0014154981,-0.028034948,0.0767655,0.018587714,-0.039994493,0.0343713,-0.052212603,0.013235257,0.046044584,1.6324105,488.1152,0.11012803,0.81740445,0.20433128,0.29044223,0.2262931,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5632000,792000,47.3977419,8.545594,0.0065936004,-0.00058032316,-0.05034479,0.011807763,-0.003991564,0.0,-0.0020593202,-0.00011344586,-0.02470454,0.08329662,0.018587714,-0.039994493,0.0343713,0.01857661,0.020757899,0.062431205,1.6321194,488.1152,0.10342762,0.8191927,0.19828138,0.29306024,0.2257723,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5736000,792000,47.3977419,8.545594,0.0075038807,-0.0031666078,-0.042208586,0.011807763,-0.003991564,0.0,-0.003045017,0.0019355316,-0.021512942,0.08676362,0.018587714,-0.039994493,0.0343713,0.0129541,0.065558806,-0.06404518,1.6314403,488.1152,0.1,0.8222255,0.19496642,0.2971999,0.22438906,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5832000,792000,47.3977419,8.545594,0.007944541,-0.004605292,-0.036396954,0.011807763,-0.003991564,0.0,-0.0035750049,0.0047163605,-0.019737918,0.08662249,0.018587714,-0.039994493,0.0343713,-0.06464112,-0.02480077,-0.00693649,1.6312128,488.1152,0.1,0.7131463,0.19213271,0.27833262,0.21315284,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
5936000,792000,47.3977419,8.545594,0.0082527315,-0.0048569473,-0.030646766,0.011807763,-0.003991564,0.0,-0.0063599413,0.007333775,-0.018478632,0.08501333,0.018587714,-0.039994493,0.0343713,-0.045598146,-0.04746622,0.019297002,1.6312051,488.1152,0.1,0.7174618,0.19239931,0.28514153,0.21030615,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6040000,792000,47.3977419,8.545594,0.006751933,-0.0046551507,-0.026258593,0.011807763,-0.003991564,0.0,-0.008491012,0.011796192,-0.01699725,0.08229681,0.018587714,-0.039994493,0.0343713,0.055524822,0.053363092,-0.0037141142,1.6311623,488.1152,0.1,0.6431661,0.1911296,0.2716676,0.19922368,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6136000,792000,47.3977419,8.545594,0.0055707805,-0.0034385761,-0.023819832,0.011807763,-0.003991564,0.0,-0.009060751,0.01371615,-0.016491737,0.07749171,0.018587714,-0.039994493,0.0343713,-0.026394203,0.0481953,-0.0103805205,1.6310453,488.1152,0.1,0.64834124,0.19273685,0.28061754,0.19554181,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6232000,792000,47.3977419,8.545594,0.0036574868,-0.0023311637,-0.020808177,0.011807763,-0.003991564,0.0,-0.010947462,0.01635856,-0.015806155,0.073945984,0.018587714,-0.039994493,0.0343713,-0.030326247,0.028406734,-0.005128793,1.6308243,488.1152,0.1,0.5927606,0.1916804,0.2694618,0.1854331,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6336000,792000,47.3977419,8.545594,0.0014428069,-0.0004369603,-0.018076716,0.011807763,-0.003991564,0.0,-0.016303064,0.017758684,-0.017264947,0.067737274,0.018587714,-0.039994493,0.0343713,-0.058506932,0.10067746,0.018900258,1.6306379,488.1152,0.1,0.5995658,0.19367398,0.2818173,0.1808734,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6431999,792000,47.3977419,8.545594,-0.00060405314,0.0010351213,-0.016338399,0.011807763,-0.003991564,0.0,-0.018053476,0.022686608,-0.014352835,0.06577439,0.018587714,-0.039994493,0.0343713,-0.06546337,0.07242161,-0.05883518,1.6304954,488.1152,0.1,0.5558557,0.1924942,0.27248767,0.17172724,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6536000,792000,47.3977419,8.545594,-0.0026377833,0.003527048,-0.014924123,0.011807763,-0.003991564,0.0,-0.018564405,0.02629329,-0.011730258,0.06289283,0.018587714,-0.039994493,0.0343713,-0.11994577,0.0061380267,0.035756264,1.6303663,488.1152,0.1,0.5639827,0.19419678,0.28736085,0.16708463,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6639999,792000,47.3977419,8.545594,-0.004326166,0.0058454224,-0.014248053,0.011807763,-0.003991564,0.0,-0.019721951,0.029071953,-0.010423839,0.058347072,0.018587714,-0.039994493,0.0343713,-0.009518852,0.05598561,-0.034001775,1.6303029,488.1152,0.1,0.5286348,0.19286276,0.27954838,0.15874946,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6736000,792000,47.3977419,8.545594,-0.0060448195,0.008641807,-0.013921497,0.011807763,-0.003991564,0.0,-0.023678796,0.03321679,-0.010693309,0.052938815,0.018587714,-0.039994493,0.0343713,-0.051811118,0.0725149,-0.009230337,1.630449,488.1152,0.1,0.537468,0.19397154,0.29513964,0.15478761,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6840000,792000,47.3977419,8.545594,-0.007588036,0.010822925,-0.013373063,0.011807763,-0.003991564,0.0,-0.025612839,0.03511134,-0.009606771,0.049342506,0.018587714,-0.039994493,0.0343713,0.013299839,0.019735627,0.062478703,1.6304457,488.1152,0.1,0.50752234,0.192368,0.2870013,0.14774975,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
6936000,792000,47.3977419,8.545594,-0.009230448,0.013470258,-0.013692453,0.011807763,-0.003991564,0.0,-0.028703198,0.039903734,-0.009940706,0.04421721,0.018587714,-0.039994493,0.0343713,-0.09315776,0.022239808,-0.03428198,1.6303885,488.1152,0.1,0.5176823,0.19302204,0.30406326,0.14440796,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
7040000,792000,47.3977419,8.545594,-0.01078762,0.015564439,-0.014573584,0.011807763,-0.003991564,0.0,-0.031197114,0.04114904,-0.011503504,0.03768315,0.018587714,-0.039994493,0.0343713,-0.061453126,0.060778253,-0.108204775,1.6302795,488.1152,0.1,0.4913254,0.19122341,0.29442567,0.13870263,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
