timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
30936000,47.39767671172548,8.550341864358487,541.15295,51.318756,-0.0,0.45710626,19.352182,-2.5290534,1.5202975,1.0866868,1.0128341,0.0,2,0,0,0
31143999,47.39767703621334,8.550395549965952,541.7512,51.896637,-0.0,0.26044044,19.409855,-3.169811,1.5306363,1.0872372,1.0128067,0.0,2,0,0,0
31344000,47.39767694985881,8.550447263834947,542.4379,52.562958,-0.0,0.08495789,19.409168,-3.6405983,1.5394531,1.0873581,1.0127873,0.0,2,0,0,0
31544000,47.39767655474489,8.550498977269578,543.20905,53.31369,-0.0,-0.063193046,19.402094,-3.995955,1.5478367,1.0874254,1.012776,0.0,2,0,0,0
31744000,47.39767590229677,8.550550693517376,544.04803,54.132294,-0.0,-0.19276711,19.389275,-4.27691,1.554956,1.0874645,1.0127707,0.0,2,0,0,0
31944000,47.39767504674491,8.550602397986555,544.93567,54.999542,-0.0,-0.29512835,19.382113,-4.487255,1.5600985,1.0874345,1.0127691,0.0,2,0,0,0
32144000,47.39767403575843,8.5506540817612,545.858,55.90146,-0.0,-0.3753529,19.374685,-4.6492796,1.5645477,1.0873786,1.0127705,0.0,2,0,0,0
32352000,47.3976728785988,8.550707799660042,546.8458,56.868927,-0.0,-0.43838227,19.360851,-4.784556,1.568507,1.0876818,1.0127786,0.0,2,0,0,0
32544000,47.39767174483436,8.550757370620984,547.7809,57.7836,-0.0,-0.47954807,19.34758,-4.883045,1.5711577,1.0870926,1.0127794,0.0,2,0,0,0
32744000,47.39767052411166,8.550808931922909,548.77545,58.757782,-0.0,-0.50998867,19.323744,-4.964619,1.5729927,1.0868726,1.0127858,0.0,2,0,0,0
32944000,47.39766927791207,8.550860459162141,549.7815,59.74344,-0.0,-0.5276767,19.295355,-5.0291615,1.5740176,1.0866479,1.0127934,0.0,2,0,0,0
33144000,47.397668033934764,8.55091193004168,550.79877,60.740326,-0.0,-0.53605336,19.259779,-5.0813956,1.574654,1.0863642,1.0128015,0.0,2,0,0,0
33344000,47.3976668088668,8.550963319019923,551.8256,61.746796,-0.0,-0.5295533,19.22242,-5.1144114,1.5744078,1.0860838,1.0128102,0.0,2,0,0,0
33544000,47.39766562950827,8.551014666239181,552.8591,62.759857,-0.0,-0.5165829,19.185038,-5.135766,1.5735201,1.0857555,1.0128188,0.0,2,0,0,0
