timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3084000,0.70711,9.3434406e-05,-9.344443e-05,0.70711,0.0,0.0,0.0,0.0,0
3096000,0.70711,9.343859e-05,-9.342678e-05,0.70711,0.0,0.0,0.0,0.0,0
3108000,0.70711,9.342094e-05,-9.3430965e-05,0.70711,0.0,0.0,0.0,0.0,0
3120000,0.70711,9.342512e-05,-9.341331e-05,0.70711,0.0,0.0,0.0,0.0,0
3132000,0.70711,9.340747e-05,-9.34175e-05,0.70711,0.0,0.0,0.0,0.0,0
3144000,0.70711,9.3411654e-05,-9.3399845e-05,0.70711,0.0,0.0,0.0,0.0,0
3156000,0.70711,9.3394e-05,-9.3404036e-05,0.70711,0.0,0.0,0.0,0.0,0
3168000,0.70711,9.3398194e-05,-9.338638e-05,0.70711,0.0,0.0,0.0,0.0,0
3180000,0.70711,9.3380535e-05,-9.339057e-05,0.70711,0.0,0.0,0.0,0.0,0
3192000,0.70711,9.3384726e-05,-9.337291e-05,0.70711,0.0,0.0,0.0,0.0,0
3204000,0.70711,9.3367074e-05,-9.33771e-05,0.70711,0.0,0.0,0.0,0.0,0
3216000,0.70711,9.337126e-05,-9.335945e-05,0.70711,0.0,0.0,0.0,0.0,0
3228000,0.70711,9.335361e-05,-9.336363e-05,0.70711,0.0,0.0,0.0,0.0,0
3240000,0.70711,9.335779e-05,-9.334598e-05,0.70711,0.0,0.0,0.0,0.0,0
3252000,0.70711,9.334014e-05,-9.3350165e-05,0.70711,0.0,0.0,0.0,0.0,0
3264000,0.70711,9.334432e-05,-9.3332514e-05,0.70711,0.0,0.0,0.0,0.0,0
3276000,0.70711,9.332667e-05,-9.33367e-05,0.70711,0.0,0.0,0.0,0.0,0
3288000,0.70711,9.333086e-05,-9.3319046e-05,0.70711,0.0,0.0,0.0,0.0,0
3300000,0.70711,9.33132e-05,-9.332324e-05,0.70711,0.0,0.0,0.0,0.0,0
3312000,0.70711,9.3317394e-05,-9.330558e-05,0.70711,0.0,0.0,0.0,0.0,0
3324000,0.70711,9.3299735e-05,-9.330977e-05,0.70711,0.0,0.0,0.0,0.0,0
3336000,0.70711,9.330393e-05,-9.329212e-05,0.70711,0.0,0.0,0.0,0.0,0
3348000,0.70711,9.3286275e-05,-9.32963e-05,0.70711,0.0,0.0,0.0,0.0,0
3360000,0.70711,9.329046e-05,-9.327865e-05,0.70711,0.0,0.0,0.0,0.0,0
3372000,0.70711,9.327281e-05,-9.328283e-05,0.70711,0.0,0.0,0.0,0.0,0
