timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
15031999,-0.18727696,0.34906584,1.569189,0.0,0.6823989,-0.18731514,0.057289213,0.7042462,1.0,0.0,0.0,1,0,0,0,0,2
15056000,-0.18915096,0.34906584,1.5691936,0.0,0.6822214,-0.1879546,0.056628868,0.7043012,1.0,0.0,0.0,1,0,0,0,0,2
15080000,-0.19097218,0.34906584,1.5692,0.0,0.6820477,-0.18857595,0.05598689,0.70435464,1.0,0.0,0.0,1,0,0,0,0,2
15104000,-0.1927006,0.34906584,1.569205,0.0,0.6818827,-0.18916544,0.055377685,0.7044045,1.0,0.0,0.0,1,0,0,0,0,2
15128000,-0.1983176,0.34906584,1.5652194,0.0,0.6827515,-0.19097297,0.053779833,0.703198,1.0,0.0,0.0,1,0,0,0,0,2
15152000,-0.19987977,0.34906584,1.5652201,0.0,0.6826018,-0.1915062,0.053230487,0.70324004,1.0,0.0,0.0,1,0,0,0,0,2
15176000,-0.20129478,0.34906584,1.5652213,0.0,0.68246573,-0.19198914,0.052732818,0.70327795,1.0,0.0,0.0,1,0,0,0,0,2
15200000,-0.20265856,0.34906584,1.565224,0.0,0.6823337,-0.19245452,0.052252986,0.70331466,1.0,0.0,0.0,1,0,0,0,0,2
15224000,-0.20786186,0.34906584,1.5612121,0.0,0.6832404,-0.19412753,0.05081255,0.70207906,1.0,0.0,0.0,1,0,0,0,0,2
15248000,-0.20889343,0.34906584,1.5612091,0.0,0.68314135,-0.19447984,0.05045072,0.70210415,1.0,0.0,0.0,1,0,0,0,0,2
15272000,-0.2097584,0.34906584,1.561209,0.0,0.6830572,-0.19477528,0.05014707,0.7021259,1.0,0.0,0.0,1,0,0,0,0,2
15296000,-0.21045527,0.34906584,1.5612069,0.0,0.68298995,-0.1950132,0.049902618,0.7021426,1.0,0.0,0.0,1,0,0,0,0,2
15320000,-0.21507983,0.34906584,1.5571752,0.0,0.6839515,-0.19649422,0.048675142,0.70087874,1.0,0.0,0.0,1,0,0,0,0,2
15344000,-0.21575016,0.34906584,1.5571748,0.0,0.68388575,-0.19672343,0.048440263,0.70089495,1.0,0.0,0.0,1,0,0,0,0,2
15368000,-0.21629442,0.34906584,1.5571724,0.0,0.683833,-0.19690949,0.048249766,0.70090723,1.0,0.0,0.0,1,0,0,0,0,2
15392000,-0.21677224,0.34906584,1.5571712,0.0,0.68378645,-0.19707283,0.04808244,0.7009184,1.0,0.0,0.0,1,0,0,0,0,2
15416000,-0.2211144,0.34906584,1.5531269,0.0,0.684773,-0.19846235,0.046961978,0.6996378,1.0,0.0,0.0,1,0,0,0,0,2
15440000,-0.22138117,0.34906584,1.5531247,0.0,0.6847474,-0.19855364,0.046868883,0.6996433,1.0,0.0,0.0,1,0,0,0,0,2
15464000,-0.22152753,0.34906584,1.5531214,0.0,0.684734,-0.19860366,0.046818018,0.69964564,1.0,0.0,0.0,1,0,0,0,0,2
15488000,-0.22163126,0.34906584,1.5531186,0.0,0.68472457,-0.19863911,0.046782,0.699647,1.0,0.0,0.0,1,0,0,0,0,2
15512000,-0.22563395,0.34906584,1.5490618,0.0,0.6857437,-0.19991663,0.045787282,0.6983498,1.0,0.0,0.0,1,0,0,0,0,2
15536000,-0.22563241,0.34906584,1.5490607,0.0,0.68574417,-0.19991606,0.04578793,0.69834936,1.0,0.0,0.0,1,0,0,0,0,2
15560000,-0.2256842,0.34906584,1.5490611,0.0,0.6857389,-0.19993383,0.045769818,0.6983506,1.0,0.0,0.0,1,0,0,0,0,2
15584000,-0.22560047,0.34906584,1.5490605,0.0,0.68574744,-0.1999051,0.04579909,0.6983486,1.0,0.0,0.0,1,0,0,0,0,2
15608000,-0.22941102,0.34906584,1.5449958,0.0,0.6867834,-0.2011205,0.0448773,0.69704026,1.0,0.0,0.0,1,0,0,0,0,2
