timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
238976000,0.016705424,0.01345253,-0.032119393,0.025405884,0.15274048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.059906006,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0023664604,-3.1888485e-06,0.0015368462,0.0,0.0,0.03034401,0.0032218467,0.0
239176000,0.03789133,0.021370888,-0.011416316,0.025970459,0.06564331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.05593872,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0013067629,-0.002527833,0.0026448965,0.0,0.0,-0.2091484,0.0033035697,0.0
239376000,0.023993492,0.018446922,-0.075621724,0.03262329,0.113708496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.025909424,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0007517496,0.001440227,-0.0013510883,0.0,0.0,0.02263832,0.003434266,0.0
239576000,0.03871219,0.019216537,-0.08265424,0.030426025,0.10479736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.20425415,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0022011995,0.0021945685,-0.0003427267,0.0,0.0,-0.1376915,0.0031712973,0.0
239776000,0.012412816,0.03540039,-0.030725837,0.022918701,0.11206055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.16134644,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0005204682,-0.004094109,-0.002409041,0.0,0.0,-0.12189007,0.0028389425,0.0
239976000,0.01707074,0.01287365,-0.019942641,0.032608032,0.06375122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.1904602,0.0,0.0,nan,0.0,0.0,-0.01589775,0.00032663532,-0.0006094277,0.0013701022,0.0,0.0,-0.029078484,0.0032888672,0.0
240176000,0.025140032,0.029218674,-0.09225392,0.036895752,0.15698242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.11062622,0.0,0.0,nan,0.0,0.0,-0.01589775,-0.0043452955,0.0012770742,0.00208354,0.0,0.0,-0.021485329,0.0032056826,0.0
240376000,0.02655302,0.016859055,-0.029587984,0.031799316,0.06661987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.079559326,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0008847704,-0.0014724135,0.001547426,0.0,0.0,0.08517361,0.003790885,0.0
240576000,0.020522341,0.036530495,-0.086160064,0.0340271,0.16705322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.07873535,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0005441718,0.0011523217,-0.0012055933,0.0,0.0,0.04875946,0.003819518,0.0
240776000,0.034730166,0.029996872,-0.05340469,0.027023315,0.113220215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.10864258,0.0,0.0,nan,0.0,0.0,-0.01589775,0.0022874866,0.00030492246,-0.00144732,0.0,0.0,0.0009202957,0.0039044784,0.0
