timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
145176000,144172000,4000000.0,1.0,0.11254979,12.615537,0.0,255,0,6,4,0,0,0,0,1,1,36
146176000,146172000,4000000.0,1.0,0.11254979,12.492031,0.0,255,0,6,4,0,0,0,0,1,1,36
147176000,147172000,4000000.0,1.0,0.11254979,13.011951,0.0,255,0,6,4,0,0,0,0,1,1,36
148176000,148172000,4000000.0,1.0,0.11254979,12.701194,0.0,255,0,6,4,0,0,0,0,1,1,36
149076000,149072000,4000000.0,1.0,0.13545816,12.612549,0.0,255,0,6,4,0,0,0,0,1,1,36
150076000,150072000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
151076000,151072000,4000000.0,1.0,0.1384462,12.813744,0.0,255,0,6,4,0,0,0,0,1,1,36
152076000,152072000,4000000.0,1.0,0.11254979,12.317728,0.0,255,0,6,4,0,0,0,0,1,1,36
153076000,153072000,4000000.0,1.0,0.13545816,12.616532,0.0,255,0,6,4,0,0,0,0,1,1,36
154076000,154072000,4000000.0,1.0,0.11254979,12.298803,0.0,255,0,6,4,0,0,0,0,1,1,36
155072000,155068000,4000000.0,1.0,0.11254979,12.568724,0.0,255,0,6,4,0,0,0,0,1,1,36
156072000,156068000,4000000.0,1.0,0.11254979,12.462151,0.0,255,0,6,4,0,0,0,0,1,1,36
157072000,157068000,4000000.0,1.0,0.11254979,12.648405,0.0,255,0,6,4,0,0,0,0,1,1,36
158072000,158068000,4000000.0,1.0,0.11254979,12.298803,0.0,255,0,6,4,0,0,0,0,1,1,36
159068000,159064000,4000000.0,1.0,0.13545816,12.654382,0.0,255,0,6,4,0,0,0,0,1,1,36
160064000,160060000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
161064000,160060000,4000000.0,1.0,0.1384462,12.752987,0.0,255,0,6,4,0,0,0,0,1,1,36
162064000,162064000,4000000.0,1.0,0.11254979,12.330676,0.0,255,0,6,4,0,0,0,0,1,1,36
163064000,163060000,4000000.0,1.0,0.11254979,12.616532,0.0,255,0,6,4,0,0,0,0,1,1,36
164060000,164056000,4000000.0,1.0,0.13545816,12.298803,0.0,255,0,6,4,0,0,0,0,1,1,36
165060000,165056000,4000000.0,1.0,0.11254979,12.616532,0.0,255,0,6,4,0,0,0,0,1,1,36
166060000,166056000,4000000.0,1.0,0.11254979,12.462151,0.0,255,0,6,4,0,0,0,0,1,1,36
167056000,167052000,4000000.0,1.0,0.11254979,12.600596,0.0,255,0,6,4,0,0,0,0,1,1,36
168056000,167052000,4000000.0,1.0,0.11254979,12.285855,0.0,255,0,6,4,0,0,0,0,1,1,36
