timestamp,error_count,device_id,temperature,clipping[0],clipping[1],clipping[2],full_scale_range,vibration_metric,coning_vibration,measure_rate,rotation
178004000,0,2294028,11.177551,0,0,0,34.906586,2.4174728e-05,1.0152261e-08,1000,0
179004000,0,2294028,11.177551,0,0,0,34.906586,2.5974941e-05,1.7473399e-08,1000,0
180004000,0,2294028,11.177551,0,0,0,34.906586,2.46326e-05,2.1472228e-08,1000,0
181004000,0,2294028,11.178314,0,0,0,34.906586,2.5286206e-05,2.9311352e-08,1000,0
182004000,0,2294028,11.197113,0,0,0,34.906586,2.466017e-05,2.5328086e-08,1000,0
183004000,0,2294028,11.233429,0,0,0,34.906586,2.4360626e-05,1.9596326e-08,1000,0
184004000,0,2294028,11.270905,0,0,0,34.906586,2.5513704e-05,2.2402642e-08,1000,0
185004000,0,2294028,11.303833,0,0,0,34.906586,2.3302166e-05,2.0628667e-08,1000,0
186004000,0,2294028,11.3315735,0,0,0,34.906586,2.5571964e-05,2.4016236e-08,1000,0
187004000,0,2294028,11.354858,0,0,0,34.906586,2.4034682e-05,2.2468338e-08,1000,0
188004000,0,2294028,11.375458,0,0,0,34.906586,2.5061414e-05,2.4217567e-08,1000,0
189004000,0,2294028,11.395538,0,0,0,34.906586,2.4223862e-05,2.232526e-08,1000,0
190004000,0,2294028,11.416748,0,0,0,34.906586,2.6479382e-05,2.194032e-08,1000,0
191004000,0,2294028,11.438995,0,0,0,34.906586,2.5813484e-05,2.3810134e-08,1000,0
192004000,0,2294028,11.449249,0,0,0,34.906586,2.372356e-05,2.1977224e-08,1000,0
193004000,0,2294028,11.452454,0,0,0,34.906586,2.3688603e-05,1.7017364e-08,1000,0
194004000,0,2294028,11.457275,0,0,0,34.906586,2.5918667e-05,1.4318803e-08,1000,0
195004000,0,2294028,11.463318,0,0,0,34.906586,2.250692e-05,1.1646615e-08,1000,0
196004000,0,2294028,11.468628,0,0,0,34.906586,2.346337e-05,1.3169552e-08,1000,0
197004000,0,2294028,11.472626,0,0,0,34.906586,2.4060379e-05,1.522539e-08,1000,0
198004000,0,2294028,11.475647,0,0,0,34.906586,2.3802162e-05,1.6166124e-08,1000,0
199004000,0,2294028,11.47821,0,0,0,34.906586,2.5830694e-05,1.9379312e-08,1000,0
200004000,0,2294028,11.480774,0,0,0,34.906586,2.6182575e-05,1.933117e-08,1000,0
201004000,0,2294028,11.483978,0,0,0,34.906586,2.2757376e-05,1.5015036e-08,1000,0
202004000,0,2294028,11.488403,0,0,0,34.906586,2.1978607e-05,1.364522e-08,1000,0
203004000,0,2294028,11.494232,0,0,0,34.906586,2.460346e-05,1.5607512e-08,1000,0
204004000,0,2294028,11.501526,0,0,0,34.906586,2.4905097e-05,1.705263e-08,1000,0
205004000,0,2294028,11.509857,0,0,0,34.906586,2.4166784e-05,1.8808073e-08,1000,0
206004000,0,2294028,11.517944,0,0,0,34.906586,2.3161534e-05,2.035434e-08,1000,0
207004000,0,2294028,11.524292,0,0,0,34.906586,2.3556338e-05,1.9688047e-08,1000,0
208004000,0,2294028,11.529205,0,0,0,34.906586,2.3656177e-05,1.8159366e-08,1000,0
209004000,0,2294028,11.533936,0,0,0,34.906586,2.4494477e-05,1.6260916e-08,1000,0
210004000,0,2294028,11.538666,0,0,0,34.906586,2.5478543e-05,1.7898762e-08,1000,0
211004000,0,2294028,11.542114,0,0,0,34.906586,2.5391066e-05,2.0660861e-08,1000,0
212004000,0,2294028,11.540955,0,0,0,34.906586,2.5994506e-05,2.761335e-08,1000,0
213004000,0,2294028,11.53241,0,0,0,34.906586,2.2844773e-05,2.6154517e-08,1000,0
214004000,0,2294028,11.519623,0,0,0,34.906586,2.5084304e-05,2.574429e-08,1000,0
215004000,0,2294028,11.509338,0,0,0,34.906586,2.491525e-05,1.723323e-08,1000,0
216004000,0,2294028,11.506134,0,0,0,34.906586,2.4167486e-05,9.346198e-09,1000,0
217004000,0,2294028,11.508209,0,0,0,34.906586,2.3731562e-05,4.8357065e-09,1000,0
218004000,0,2294028,11.51181,0,0,0,34.906586,2.5072353e-05,2.860933e-09,1000,0
219004000,0,2294028,11.514374,0,0,0,34.906586,2.536513e-05,2.998519e-09,1000,0
220004000,0,2294028,11.515167,0,0,0,34.906586,2.5369853e-05,3.0253557e-09,1000,0
221004000,0,2294028,11.5147705,0,0,0,34.906586,2.4855319e-05,2.752213e-09,1000,0
222004000,0,2294028,11.514069,0,0,0,34.906586,2.4750409e-05,2.3971658e-09,1000,0
223004000,0,2294028,11.513489,0,0,0,34.906586,2.4735335e-05,1.8217498e-09,1000,0
224004000,0,2294028,11.513092,0,0,0,34.906586,2.4703493e-05,1.3577302e-09,1000,0
225004000,0,2294028,11.512695,0,0,0,34.906586,2.4640321e-05,9.63745e-10,1000,0
226004000,0,2294028,11.515442,0,0,0,34.906586,2.5669311e-05,1.4447501e-08,1000,0
227004000,0,2294028,11.531128,0,0,0,34.906586,2.3997725e-05,4.73658e-09,1000,0
228004000,0,2294028,11.549286,0,0,0,34.906586,2.5681935e-05,3.2648857e-09,1000,0
229004000,0,2294028,11.564209,0,0,0,34.906586,2.4510891e-05,3.189971e-09,1000,0
230004000,0,2294028,11.57608,0,0,0,34.906586,2.2979215e-05,1.408987e-09,1000,0
231004000,0,2294028,11.586639,0,0,0,34.906586,2.4621979e-05,1.1426526e-09,1000,0
232004000,0,2294028,11.597015,0,0,0,34.906586,2.502939e-05,1.0120342e-09,1000,0
233004000,0,2294028,11.607178,0,0,0,34.906586,2.7215374e-05,1.0339575e-09,1000,0
234004000,0,2294028,11.617035,0,0,0,34.906586,2.4825584e-05,7.928349e-10,1000,0
235004000,0,2294028,11.626526,0,0,0,34.906586,2.5300425e-05,6.8921147e-10,1000,0
236004000,0,2294028,11.635834,0,0,0,34.906586,2.391684e-05,5.8497224e-10,1000,0
237004000,0,2294028,11.64505,0,0,0,34.906586,2.3268678e-05,4.5424242e-10,1000,0
238004000,0,2294028,11.654205,0,0,0,34.906586,2.5134887e-05,4.792076e-10,1000,0
239004000,0,2294028,11.6633,0,0,0,34.906586,2.6878746e-05,6.080862e-10,1000,0
240004000,0,2294028,11.672363,0,0,0,34.906586,2.6259746e-05,6.173019e-10,1000,0
241004000,0,2294028,11.681488,0,0,0,34.906586,2.410558e-05,5.802157e-10,1000,0
242004000,0,2294028,11.690552,0,0,0,34.906586,2.3819612e-05,5.3147253e-10,1000,0
243004000,0,2294028,11.699585,0,0,0,34.906586,2.2714015e-05,4.669805e-10,1000,0
244004000,0,2294028,11.708649,0,0,0,34.906586,2.3374769e-05,7.418365e-10,1000,0
245004000,0,2294028,11.718018,0,0,0,34.906586,2.409265e-05,7.820701e-10,1000,0
246004000,0,2294028,11.727692,0,0,0,34.906586,2.4417624e-05,7.5526185e-10,1000,0
247004000,0,2294028,11.737488,0,0,0,34.906586,2.5303947e-05,6.918567e-10,1000,0
248004000,0,2294028,11.747345,0,0,0,34.906586,2.4628396e-05,6.3510225e-10,1000,0
249004000,0,2294028,11.757202,0,0,0,34.906586,2.4529241e-05,6.489088e-10,1000,0
250004000,0,2294028,11.76712,0,0,0,34.906586,2.585661e-05,7.326181e-10,1000,0
251004000,0,2294028,11.7771,0,0,0,34.906586,2.303356e-05,4.994464e-10,1000,0
252004000,0,2294028,11.786926,0,0,0,34.906586,2.393591e-05,5.1401067e-10,1000,0
253004000,0,2294028,11.796539,0,0,0,34.906586,2.3970282e-05,5.541756e-10,1000,0
254004000,0,2294028,11.806213,0,0,0,34.906586,2.3116358e-05,7.021195e-10,1000,0
255008000,0,2294028,11.8172,0,0,0,34.906586,2.4213718e-05,6.641665e-09,1000,0
255920000,0,2294028,11.828796,0,0,0,34.906586,0.00013196097,2.15564e-08,1000,0
256932000,0,2294028,11.828796,0,0,0,34.906586,3.134184e-05,2.1980853e-09,1000,0
257944000,0,2294028,11.828796,0,0,0,34.906586,2.5631407e-05,7.4612266e-10,1000,0
258956000,0,2294028,11.828796,0,0,0,34.906586,2.4317085e-05,6.3055605e-10,1000,0
